epoch,accuracy,loss,val_accuracy,val_loss
0,0.9934999942779541,0.01852758415043354,0.9591000080108643,0.17339541018009186
1,0.9950500130653381,0.015036433935165405,0.958899974822998,0.19862496852874756
2,0.9948499798774719,0.01570931263267994,0.9599000215530396,0.18359552323818207
3,0.9953833222389221,0.014178609475493431,0.9617000222206116,0.18149113655090332
4,0.9958000183105469,0.012377840466797352,0.9638000130653381,0.17842206358909607
5,0.9960500001907349,0.01166252139955759,0.9599999785423279,0.21279597282409668
6,0.9961166381835938,0.011899130418896675,0.9603999853134155,0.2029569149017334
7,0.9959333539009094,0.011665367521345615,0.9613999724388123,0.19612105190753937
8,0.996066689491272,0.011250645853579044,0.9602000117301941,0.19708922505378723
9,0.9961166381835938,0.011029540561139584,0.9639999866485596,0.18582898378372192
10,0.9962666630744934,0.01064298301935196,0.958899974822998,0.22451052069664001
11,0.9970333576202393,0.007944096811115742,0.9611999988555908,0.2223384827375412
12,0.996150016784668,0.011085927486419678,0.9632999897003174,0.19631899893283844
13,0.9972666501998901,0.008478132076561451,0.9646999835968018,0.19248706102371216
14,0.996916651725769,0.008898017928004265,0.9603000283241272,0.20536074042320251
15,0.9974499940872192,0.0077037266455590725,0.9623000025749207,0.22335173189640045
16,0.9973000288009644,0.007776261307299137,0.9607999920845032,0.21339358389377594
17,0.9973333477973938,0.007824215106666088,0.9617999792098999,0.22789154946804047
18,0.9977166652679443,0.0068794479593634605,0.9661999940872192,0.19368427991867065
19,0.9977166652679443,0.006149971392005682,0.9593999981880188,0.24381962418556213
